n	40	Cap	15	r_mod	13
0	25.0	25.0	0.0	0.0	0.0	1000.0
1	34.548	16.947	0.0	9.0	527.0	647.0
2	28.402	46.895	0.0	10.0	143.0	263.0
3	16.459	40.222	0.0	10.0	144.0	264.0
4	2.98	41.789	0.0	11.0	154.0	274.0
5	27.881	11.25	0.0	11.0	203.0	323.0
6	12.338	31.567	0.0	10.0	22.0	142.0
7	24.993	36.846	0.0	6.0	137.0	257.0
8	34.128	43.463	0.0	11.0	411.0	531.0
9	37.055	14.494	0.0	10.0	510.0	630.0
10	42.347	34.9	0.0	11.0	193.0	313.0
11	21.314	35.006	0.0	10.0	325.0	445.0
12	4.802	1.609	0.0	10.0	80.0	200.0
13	3.391	29.245	0.0	11.0	149.0	269.0
14	32.467	49.455	0.0	10.0	272.0	392.0
15	40.532	24.883	0.0	10.0	115.0	235.0
16	43.111	6.773	0.0	8.0	374.0	494.0
17	7.223	34.563	0.0	8.0	89.0	209.0
18	16.03	15.249	0.0	8.0	535.0	655.0
19	8.135	15.82	0.0	10.0	151.0	271.0
20	30.819	3.48	0.0	7.0	560.0	680.0
21	15.362	11.994	0.0	11.0	347.0	467.0
22	5.307	2.384	0.0	10.0	182.0	302.0
23	47.712	34.265	0.0	6.0	545.0	665.0
24	9.968	45.713	0.0	10.0	458.0	578.0
25	39.265	24.082	0.0	7.0	381.0	501.0
26	39.826	36.958	0.0	10.0	203.0	323.0
27	31.608	6.402	0.0	10.0	39.0	159.0
28	0.621	16.762	0.0	5.0	280.0	400.0
29	33.641	41.836	0.0	11.0	184.0	304.0
30	18.985	21.045	0.0	9.0	365.0	485.0
31	27.031	7.841	0.0	7.0	70.0	190.0
32	32.057	9.578	0.0	11.0	33.0	153.0
33	42.026	44.074	0.0	8.0	541.0	661.0
34	34.019	12.171	0.0	11.0	23.0	143.0
35	41.886	31.076	0.0	11.0	33.0	153.0
36	44.692	14.562	0.0	11.0	319.0	439.0
37	8.588	23.12	0.0	5.0	26.0	146.0
38	21.135	31.892	0.0	5.0	531.0	651.0
39	13.347	44.698	0.0	7.0	254.0	374.0
40	27.508	18.838	0.0	8.0	97.0	217.0
41	13.85	26.773	0.0	-9.0	549.0	669.0
42	34.924	33.086	0.0	-10.0	158.0	278.0
43	31.72	11.567	0.0	-10.0	176.0	296.0
44	28.881	37.179	0.0	-11.0	180.0	300.0
45	41.328	33.122	0.0	-11.0	228.0	348.0
46	17.327	29.285	0.0	-10.0	27.0	147.0
47	22.503	21.888	0.0	-6.0	152.0	272.0
48	22.048	24.351	0.0	-11.0	433.0	553.0
49	36.595	28.844	0.0	-10.0	524.0	644.0
50	1.654	3.597	0.0	-11.0	244.0	364.0
51	47.114	2.88	0.0	-10.0	366.0	486.0
52	1.391	41.648	0.0	-10.0	120.0	240.0
53	7.407	46.855	0.0	-11.0	167.0	287.0
54	18.813	46.961	0.0	-10.0	285.0	405.0
55	40.003	25.432	0.0	-10.0	115.0	235.0
56	14.914	28.117	0.0	-8.0	409.0	529.0
57	22.596	8.832	0.0	-8.0	118.0	238.0
58	17.636	45.275	0.0	-8.0	565.0	685.0
59	46.958	7.59	0.0	-10.0	190.0	310.0
60	34.451	5.703	0.0	-7.0	564.0	684.0
61	2.994	22.136	0.0	-11.0	362.0	482.0
62	38.333	39.87	0.0	-10.0	231.0	351.0
63	13.195	12.961	0.0	-6.0	585.0	705.0
64	16.605	25.788	0.0	-10.0	479.0	599.0
65	5.014	42.745	0.0	-7.0	420.0	540.0
66	26.079	1.82	0.0	-10.0	240.0	360.0
67	3.522	33.992	0.0	-10.0	78.0	198.0
68	41.104	34.886	0.0	-5.0	324.0	444.0
69	14.032	29.354	0.0	-11.0	207.0	327.0
70	29.085	43.067	0.0	-9.0	389.0	509.0
71	11.656	13.989	0.0	-7.0	86.0	206.0
72	45.083	38.459	0.0	-11.0	64.0	184.0
73	29.697	8.788	0.0	-8.0	578.0	698.0
74	48.224	25.855	0.0	-11.0	42.0	162.0
75	46.562	12.931	0.0	-11.0	51.0	171.0
76	16.66	2.533	0.0	-11.0	349.0	469.0
77	12.706	18.166	0.0	-5.0	32.0	152.0
78	43.191	15.209	0.0	-5.0	558.0	678.0
79	35.998	25.518	0.0	-7.0	283.0	403.0
80	3.739	8.584	0.0	-8.0	122.0	242.0
81	25.0	25.0	0.0	0.0	0.0	1000.0
